competencia,projeto,provedor,modelo,tokens_input,tokens_output,chamadas,custo_usd,custo_brl,observacoes
2026-05,IA Comunicacao,Groq,llama-3.3-70b-versatile,0,0,0,0.00,0.00,Analise de sentimento e briefings dos grupos WhatsApp
2026-05,IA Comunicacao,OpenAI,gpt-4o-mini-tts,0,0,0,0.00,0.00,Geracao de audio TTS para briefings narrados
2026-05,RAG,Google,gemini-embedding-2-preview,0,0,0,0.00,0.00,Embeddings para indexacao de documentos no Pinecone
2026-05,Hub,OpenAI,gpt-4o-mini,0,0,0,0.00,0.00,Chat assistente e consultas gerais do Hub
2026-05,Hub,Anthropic,claude-3-5-haiku,0,0,0,0.00,0.00,Automacoes Cowork e tarefas de escritorio
2026-05,Suporte NOC,Groq,llama-3.3-70b-versatile,0,0,0,0.00,0.00,Triagem de chamados e sugestoes de resposta NOC
